13/11/2015|16,25|-0,12%
12/11/2015|16,27|-1,91%
11/11/2015|16,58|1,09%
10/11/2015|16,40|1,77%
09/11/2015|16,11|-10,15%
08/11/2015|17,75|6,89%
07/11/2015|16,52|4,92%
06/11/2015|15,71|-3,76%
05/11/2015|16,30|-2,07%
04/11/2015|16,64|-2,82%
03/11/2015|17,11|-1,87%
02/11/2015|17,43|0,02%
01/11/2015|17,42|13,29%
31/10/2015|15,11|-15,50%
30/10/2015|17,45|2,97%
29/10/2015|16,93|1,11%
28/10/2015|16,74|1,64%
27/10/2015|16,47|-4,48%
26/10/2015|17,21|10,20%
25/10/2015|15,45|1,95%
24/10/2015|15,15|-0,33%
23/10/2015|15,20|-16,07%
22/10/2015|17,64|7,01%
21/10/2015|16,41|-0,99%
20/10/2015|16,57|-3,87%
19/10/2015|17,21|9,39%
18/10/2015|15,59|-5,58%
17/10/2015|16,46|8,51%
16/10/2015|15,06|-14,11%
15/10/2015|17,19|1,43%
14/10/2015|16,94|-4,76%
13/10/2015|17,75|14,51%
12/10/2015|15,17|-13,43%
11/10/2015|17,21|2,08%
10/10/2015|16,85|2,97%
09/10/2015|16,35|7,20%
08/10/2015|15,17|-14,68%
07/10/2015|17,40|-0,86%
06/10/2015|17,55|-2,14%
05/10/2015|17,93|15,18%
04/10/2015|15,21|-4,68%
03/10/2015|15,92|1,79%
02/10/2015|15,63|2,63%
01/10/2015|15,22|-17,10%
30/09/2015|17,82|13,04%
29/09/2015|15,50|-5,41%
28/09/2015|16,34|-1,89%
27/09/2015|16,65|-2,97%
26/09/2015|17,14|6,76%
25/09/2015|15,98|1,69%
24/09/2015|15,71|-13,94%
23/09/2015|17,90|5,69%
22/09/2015|16,88|8,74%
21/09/2015|15,41|-2,24%
20/09/2015|15,75|-11,72%
19/09/2015|17,60|-2,14%
18/09/2015|17,97|1,74%
17/09/2015|17,66|9,60%
16/09/2015|15,97|4,14%
15/09/2015|15,31|-16,83%
14/09/2015|17,88|1,13%
13/09/2015|17,68|11,33%
12/09/2015|15,68|-8,66%
11/09/2015|17,03|11,50%
10/09/2015|15,08|-12,17%
09/09/2015|16,91|1,03%
08/09/2015|16,74|8,15%
07/09/2015|15,37|-3,75%
06/09/2015|15,95|-9,22%
05/09/2015|17,42|-0,37%
04/09/2015|17,48|9,72%
03/09/2015|15,78|-8,97%
02/09/2015|17,20|2,65%
01/09/2015|16,74|-2,50%
31/08/2015|17,16|-2,60%
30/08/2015|17,61|4,57%
29/08/2015|16,81|8,65%
28/08/2015|15,35|-8,32%
27/08/2015|16,63|0,05%
26/08/2015|16,62|6,87%
25/08/2015|15,48|-0,73%
24/08/2015|15,59|-9,48%
23/08/2015|17,07|-5,23%
22/08/2015|17,96|14,53%
21/08/2015|15,35|-3,24%
20/08/2015|15,85|-3,36%
19/08/2015|16,38|-0,01%
18/08/2015|16,38|-7,68%
